formalize_measures_desc;Вы никогда не пробовали посчитать, сколько в перче пайков, чтобы потом понять, что где-то при расчетах потеряли пару цифр? Голова у вас после этого не болела? И спали вы спокойно? Теперь все в прошлом! Наше столичное чиновничество предлагает формализовать систему мер и весов. Это позволит не только повысить наш доход благодаря более эффективным финансовым операциям, но и снизит недовольство населения нашим правлением: люди будут знать, что их не обманывают при сборе налогов неправильным пересчетом монет.;Avez-vous dйjа essayй de convertir des perches en piques avant de dйcouvrir que vous aviez perdu un chiffre en cours de route ? Des maux de tкte ? Des nuits sans sommeil ? C’est fini ! Avec notre capitale comme nouvelle cause nationale, notre bureaucratie propose d’harmoniser le systиme de poids et mesures. En plus d’accroоtre nos revenus grвce а des transactions plus efficaces, cette rйforme rйconciliera йgalement la population avec notre rиgne, car elle comprendra que ses impфts ne sont pas calculйs sur des йchelles malhonnкtes.;Habt ihr jemals versucht, Tьcher in Дxte umzurechnen? Kopfschmerzen? Schlaflose Nдchte? Nicht lдnger! Mit dem nationalen Schwerpunkt auf unserer Hauptstadt kann unsere Bьrokratie ein standardisiertes MaЯ- und Gewichtssystem einfьhren. AuЯer einem hцheren Einkommen durch effizientere Transaktionen wird diese Reform auch die Bevцlkerung mit unserer Herrschaft glьcklicher stimmen da sie feststellen, dass sie ihre Steuern nicht auf falschen Waagen bezahlen mьssen.;;їHas probado a convertir pйrtigas en picas, y al final te has dado cuenta de que no te sale? їDolores de cabeza? їNoches sin dormir? ЎSe acabу! Con el foco nacional en nuestra capital, nuestra burocracia ofrece normalizar el sistema de pesos y medidas. Ademбs de aumentar nuestros ingresos debido a transacciones mбs eficientes, esta reforma tambiйn dejarб a la poblaciуn mбs contenta con nuestro reinado, cuando sepan que no pagan impuestos siguiendo escalas engaсosas.;;;;;;;;;x;
DOMESTIC_MODIFIERS;Модифик.;Modificateurs;Modifikatoren;;Modificadores;;;;;;;;;x;
MDEATH_PU_CONTINUES;Будет сохранена личная уния с державой §Y$COUNTRY$§W.;L’union personnelle avec §Y$COUNTRY$§W se perpйtue.;Die Personalunion mit §Y$COUNTRY$§W geht weiter;;La uniуn personal con §Y$COUNTRY$§W continъa;;;;;;;;;x;
EVTNAME9463;Родная семья;Les $DYNASTY$;Die $DYNASTY$er;;Los $DYNASTY$;;;;;;;;;x;
EVTDESC9463;Тем временем в другой стране ветвь нашей семьи, рода $DYNASTY$, оказалась в тяжелом положении. Их держава дестабилизирована, и теперь им приходится бороться за власть. Если мы им не поможем, их положение может серьезно ухудшится. Что мы будем делать?;... Pendant ce temps, dans un pays voisin, les membres d’une autre branche de la famille $DYNASTY$ sont aux abois. Leur nation est dйstabilisйe et ils doivent lutter pour conserver le pouvoir. Si nous ne les aidons pas immйdiatement, leur situation risque d’empirer. Quelle est la meilleure faзon de procйder ?;... in der Zwischenzeit, in einem andere Land, hat ein anderer Zweit der $DYNASTY$ Familie groЯe Probleme. Ihr Land destabilisiert sich und sie klammern sich verzweifelt an ihre Macht. Wenn wir ihnen jetzt nicht helfen, wird sich ihre Situation noch verschlimmern. Was ist der beste Weg?;;... mientras, en otro paнs, una rama distinta de la familia $DYNASTY$ estб en graves apuros. Con su paнs desestabilizado, luchan por aferrarse al poder. Si no los ayudamos ahora, su situaciуn podrнa empeorar enormemente. їCuбl es la mejor estrategia a seguir?;;;;;;;;;x;
EVTOPTA9463;Семья - это главное, брат;La famille passe avant tout, mon frиre.;Familie zuerst, Bruder.;;La familia primero, hermano.;;;;;;;;;x;
EVTOPTB9463;Я занят, брат;J’ai dйjа donnй а l’office, mon frиre.;Ich habe bereits gegeben, Bruder.;;Ya he donado a los pobres, hermano.;;;;;;;;;x;
EVTNAME9464;Университетский выпуск $YEAR$ года;Universitй de $PROVINCENAME$ -- Promotion de $YEAR$;$PROVINCENAME$ Universitдt -- Klasse von $YEAR$;;$PROVINCENAME$ Universidad -- Curso de $YEAR$;;;;;;;;;x;
EVTDESC9464;Как блестят их глаза, как пламенны их речи! Выпуск $YEAR$ года в университете провинции $PROVINCENAME$ просто отличный! С постепенным угасанием праздника окончания университета выпускники начинают искать себе работу по всей стране. Куда мы их направим?;Sic oculos, sic ille manus, sic ora ferebat (Ce sont ses yeux, ses mains, son visage) ! La promotion $YEAR$ de l’universitй de $PROVINCENAME$ est exceptionnelle. Maintenant que les festivitйs de remise des diplфmes sont terminйes, les nouveaux diplфmйs se prйsentent а travers le pays. Oщ devons-nous les diriger ?;Sic oculos, sic ille manus, sic ora ferebat! Die $YEAR$ Abschlussklasse der $PROVINCENAME$ Universitдt ist ьberragend. Nach der Abschlussfeier in der Stadt melden sich alle im ganzen Land zum Dienst. Wohin sollen wir sie schicken?;;ЎSic oculos, sic ille manus, sic ora ferebat! La promociуn de $YEAR$ en la universidad de $PROVINCENAME$ es excepcional. A medida que la fiesta de graduaciуn toca a su fin, clases enteras de reciйn licenciados se presentan en sus puestos por todo el paнs. їAdуnde los dirigimos?;;;;;;;;;x;
EVTOPTA9464;Пусть идут в администрацию;Vers l’administration.;An die Administration;;A la administraciуn.;;;;;;;;;x;
EVTOPTB9464;Пусть сеют тысячи цветов;Qu’ils aillent semer un millier de fleurs !;Um tausend Blumen zu pflanzen;;A sembrar flores.;;;;;;;;;x;
EVTNAME9465;Прекрасная статуя;Une belle statue;Eine schцne Statue;;Una hermosa estatua;;;;;;;;;x;
EVTDESC9465;Узорчатый мрамор лучшего $COUNTRY_ADJ$ качества. В прохладной комнате академии искусств провинции $PROVINCENAME$ он кажется почти живым. Искусство вдохновляется жизнью, но вы ощущаете всем сердцем, что это произведение превзошло все оригинальные источники вдохновения. Касаясь его, вы чувствуете, что совершаете святотатство.;Le marbre veinй $COUNTRY_ADJ$ est d’une qualitй exceptionnelle. Dans la salle d’exposition de l’Acadйmie des beaux-arts de $PROVINCENAME$, il paraоt presque vivant. La vie inspire l’art, mais vous savez au plus profond de vous que cette њuvre surpasse toutes les sources d’inspiration originales. En la touchant, vous avez presque le sentiment de commettre un sacrilиge.;Der Marmor ist von der besten Qualitдt in $COUNTRYADJ$. Im Schauraum der Kunstakademie in $PROVINCENAME$ scheint er beinahe zu leben. Kunst wird vom Leben inspiriert, aber nun wisst ihr, dass dieses Stьck Kunst alle Orginale zur Inspiration ьbertroffen hat, Das Gefьhl, das euch beim berьhren ьberkommt, ist beinahe ьbernatьrlich.;;El mбrmol veteado es de la mejor calidad $COUNTRY_ADJ$. En la frнa sala de exposiciуn de la Academia de Bellas Artes de $PROVINCENAME$, parece casi vivo. La vida inspira al arte, pero en tu interior sabes que esta obra de arte en concreto ha superado a todas las fuentes de inspiraciуn original. La sensaciуn que te recorre al tocarla es casi de sacrilegio.;;;;;;;;;x;
EVTOPTA9465;Это достояние всего человечества;Cette њuvre vient enrichir le patrimoine commun de l’humanitй.;Das Erbe der Menschheit ist um sie reicher.;;El patrimonio comъn de la humanidad es mбs rico gracias a ella.;;;;;;;;;x;
EVTOPTB9465;Что ж. Отличная статуя. Продайте ее;Bien. Trиs amusant. Vendez-moi зa.;Tja. Das war lustig. Verkauft es.;;Bien. Ha sido divertido. Vйndela.;;;;;;;;;x;
EVTNAME9467;Зажигательная речь;Le discours de $PROVINCENAME$;Die $PROVINCENAME$ Rede;;El discurso de $PROVINCENAME$;;;;;;;;;x;
EVTDESC9467;"... И так и должно быть, - он посмотрел на толпу, собравшуюся в большом лекционном зале университета провинции $PROVINCENAME$, - ""что мы придем на помощь нашей стране сейчас, в это тяжелое время, как она всегда приходит на помощь нам. Говорят, что перо сильнее меча. Я не знаю, так ли это, но если так... то нашей державе нечего бояться. Да здравствует $MONARCHTITLE$ $MONARCH$! Да здравствует великая наша страна!"" Под ликующие аплодисменты студенты, все как один, записывались в рекруты.";"Quoi de plus normal..., il regarde la foule assemblйe dans la grande salle de confйrence de l’universitй de $PROVINCENAME$, ""... que nous venions en aide а notre pays en ces moments difficiles, comme il est toujours venu а notre secours lorsque nous en avions besoin ! La plume est plus forte que l’йpйe, dit-on. J’ignore si c’est vrai, mais si зa l’est... alors $COUNTRY$ ne doit pas avoir peur. Longue vie а $MONARCHTITLE$ $MONARCH$ ! Longue vie а $COUNTRY$ !"" Un tonnerre d’applaudissement salue l’homme tandis que les йtudiants, comme un seul homme, se mettent en ordre de marche pour rejoindre l’armйe.";... und so muss es sein, er blickt ьber die Menge, die im groЯen Saal der Universitдt in $PROVINCENAME$ versammelt ist, '... das wir nun unserem Land zu Hilfe kommen, in seiner schwersten Stunde, wie es immer an unserer Seite stand, wenn wir Hilfe brauchten. Die Feder ist mдchtiger als das Schwert, sagen sie. Ich weiЯ nicht, ob das simmt, aber wenn es zutrifft...dann braucht $COUNTRY$ keine Angst zu haben. Lang lebe $MONARCHTITLE$ $MONARCH$! Long live $COUNTRY$!' Jubilant are the cheers when the students, as one man, march off to join the army.;;... y asн debe ser, mira a la multitud reunida en la sala de conferencias, de la universidad de $PROVINCENAME$, '... venimos a ayudar a vuestro paнs, en tiempo de necesidad, como siempre ha hecho con el nuestro, cuando lo hemos necesitado. La pluma es mбs poderosa que la espada, dicen. No sй si es el caso, pero si lo es... entonces $COUNTRY$ no ha de temer. ЎLarga vida a $MONARCHTITLE$ $MONARCH$! ЎLarga vida a $COUNTRY$!' Se oyen vнtores alborozados cuando los estudiantes, como un solo hombre, marchan a alistarse en el ejйrcito.;;;;;;;;;x;
EVTOPTA9467;Отправим цветы жизни на войну;Que la jeunesse parte en guerre !;Lasst unsere Jugend in den Krieg ziehen;;La flor de la juventud marcha a la guerra.;;;;;;;;;x;
EVTOPTB9467;Война - не повод, чтобы сбежать из школы;La guerre n’est pas une raison valable pour quitter l’йcole !;Der Krieg ist kein Entschuldigungsgrund!;;ЎLa guerra no es excusa para dejar los estudios!;;;;;;;;;x;
HAVE_LESS_DIPLOMATIC_RELATION;Уровень дипломатических отношений ниже;Ont de pires relations que ;Schlechtere Beziehungen als;;Tiene peores relaciones que;;;;;;;;;x;
HAVE_DIPLOMATIC_RELATION;Уровень дипломатических отношений выше;Ont de meilleures relations que ;Bessere Beziehungen als;;Tiene mejores relaciones que;;;;;;;;;x;
AND_TRIGGER_STARTS;Все следующие условия должны быть выполнены;Tout ce qui suit doit кtre vйrifiй;Folgendes muss zutreffen;;Todo lo siguiente debe ser cierto;;;;;;;;;x;
sweden_to_the_fold_title;Наставить шведов на истинный путь;Retour au bercail de la Suиde;Schweden in die Gemeinschaft bringend;;Devuelve a Suecia al redil;;;;;;;;;x;
sweden_to_the_fold_desc;...да. Да, кое-что здесь явно не так. Вы просматриваете гроссбухи. Это уже стало привычкой - подсчитывать перед сном всех овец в загоне, но сегодня одного маленького ягненка вы не досчитались. Швеция, северная жемчужина Ганзейского союза, покинула лигу. Как такое может быть?;... oui. Oui, quelque chose ne va pas. Vous parcourez les grands livres. Vous avez pris l’habitude de compter les moutons avant d’aller vous coucher et, ce soir, il manque un agneau. La Suиde, le joyau nordique du commerce hansйatique, a quittй la ligue. Vous avez du mal а y croire.; '...Ja. Ja, etwas ist hier eindeutig falsch'. Ihr seht euch die Bьcher an. Ihr habt es euch angewцhnt, all die Schafe in der Gemeinschaft nachts im Bett zu zдhlen, und ein kleines Lamm ist heute nicht da. Schweden, das nцrdliche Juwel des Hansehandels, hat die Liga verlassen. Wohl kaum etwas, an das wir glauben kцnnen.;; '...sн. Sн, algo falla aquн'. Ojeas los libros mayores. Tienes la costumbre de contar todas las ovejas del redil antes de dormir, y esta noche falta un corderito. Suecia, la joya del norte de la Liga Hanseбtica, ha abandonado la liga. Es difнcil de creer.;;;;;;;;;x;
